Field Name,Template,Status,Reference,Comments
A-IM,,permanent,[RFC 3229: Delta encoding in HTTP],
Accept,,permanent,"[RFC9110, Section 12.5.1: HTTP Semantics]",
Accept-Additions,,permanent,[RFC 2324: Hyper Text Coffee Pot Control Protocol (HTCPCP/1.0)],
Accept-CH,,permanent,"[RFC 8942, Section 3.1: HTTP Client Hints]",
Accept-Charset,,deprecated,"[RFC9110, Section 12.5.2: HTTP Semantics]",
Accept-Datetime,,permanent,[RFC 7089: HTTP Framework for Time-Based Access to Resource States -- Memento],
Accept-Encoding,,permanent,"[RFC9110, Section 12.5.3: HTTP Semantics]",
Accept-Features,,permanent,[RFC 2295: Transparent Content Negotiation in HTTP],
Accept-Language,,permanent,"[RFC9110, Section 12.5.4: HTTP Semantics]",
Accept-Patch,,permanent,[RFC 5789: PATCH Method for HTTP],
Accept-Post,perm/accept-post,permanent,[Linked Data Platform 1.0],
Accept-Ranges,,permanent,"[RFC9110, Section 14.3: HTTP Semantics]",
Access-Control,,obsoleted,[Access Control for Cross-site Requests],
Access-Control-Allow-Credentials,,permanent,[Fetch],
Access-Control-Allow-Headers,,permanent,[Fetch],
Access-Control-Allow-Methods,,permanent,[Fetch],
Access-Control-Allow-Origin,,permanent,[Fetch],
Access-Control-Expose-Headers,,permanent,[Fetch],
Access-Control-Max-Age,,permanent,[Fetch],
Access-Control-Request-Headers,,permanent,[Fetch],
Access-Control-Request-Method,,permanent,[Fetch],
Age,,permanent,"[RFC9111, Section 5.1: HTTP Caching]",
Allow,,permanent,"[RFC9110, Section 10.2.1: HTTP Semantics]",
ALPN,,permanent,"[RFC 7639, Section 2: The ALPN HTTP Header Field]",
Alt-Svc,,permanent,[RFC 7838: HTTP Alternative Services],
Alt-Used,,permanent,[RFC 7838: HTTP Alternative Services],
Alternates,,permanent,[RFC 2295: Transparent Content Negotiation in HTTP],
AMP-Cache-Transform,,provisional,[AMP-Cache-Transform HTTP request header],
Apply-To-Redirect-Ref,,permanent,[RFC 4437: Web Distributed Authoring and Versioning (WebDAV) Redirect Reference Resources],
Authentication-Control,,permanent,"[RFC 8053, Section 4: HTTP Authentication Extensions for Interactive Clients]",
Authentication-Info,,permanent,"[RFC9110, Section 11.6.3: HTTP Semantics]",
Authorization,,permanent,"[RFC9110, Section 11.6.2: HTTP Semantics]",
C-Ext,,obsoleted,[RFC 2774: An HTTP Extension Framework][status-change-http-experiments-to-historic],
C-Man,,obsoleted,[RFC 2774: An HTTP Extension Framework][status-change-http-experiments-to-historic],
C-Opt,,obsoleted,[RFC 2774: An HTTP Extension Framework][status-change-http-experiments-to-historic],
C-PEP,,obsoleted,[PEP - an Extension Mechanism for HTTP][status-change-http-experiments-to-historic],
C-PEP-Info,,deprecated,[PEP - an Extension Mechanism for HTTP][status-change-http-experiments-to-historic],
Cache-Control,,permanent,"[RFC9111, Section 5.2]",
Cache-Status,,permanent,[RFC9211: The Cache-Status HTTP Response Header Field],
Cal-Managed-ID,,permanent,"[RFC 8607, Section 5.1: Calendaring Extensions to WebDAV (CalDAV): Managed Attachments]",
CalDAV-Timezones,,permanent,"[RFC 7809, Section 7.1: Calendaring Extensions to WebDAV (CalDAV): Time Zones by Reference]",
Capsule-Protocol,,permanent,[RFC9297],
CDN-Cache-Control,,permanent,[RFC9213: Targeted HTTP Cache Control],Cache directives targeted at content delivery networks
CDN-Loop,,permanent,[RFC 8586: Loop Detection in Content Delivery Networks (CDNs)],
Cert-Not-After,,permanent,"[RFC 8739, Section 3.3: Support for Short-Term, Automatically Renewed (STAR) Certificates in the Automated Certificate Management Environment (ACME)]",
